"age","job","marital","education","default_credit","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","term_deposit_subscribed"
"Youth","blue-collar","single","secondary","no",137,"no","yes","cellular",25,"jul",359,1,-1,0,"unknown","no"
"Youth","management","married","secondary","no",1423,"yes","no","unknown",16,"may",223,3,-1,0,"unknown","no"
"Youth","management","married","tertiary","no",0,"yes","no","cellular",7,"apr",366,1,-1,0,"unknown","no"
"Workforce","technician","divorced","secondary","no",7,"yes","yes","cellular",17,"nov",50,1,-1,0,"unknown","no"
"Workforce","retired","divorced","primary","no",97,"no","no","unknown",18,"jun",59,1,-1,0,"unknown","no"
"Workforce","self-employed","divorced","tertiary","no",926,"yes","no","cellular",19,"nov",168,2,153,1,"unknown","no"
"Workforce","unemployed","single","secondary","no",0,"no","no","cellular",27,"aug",44,3,-1,0,"unknown","no"
"Workforce","admin.","married","secondary","no",2682,"no","no","cellular",30,"jul",103,8,-1,0,"unknown","no"
"Retired","retired","married","primary","no",2346,"no","no","cellular",24,"aug",190,3,194,2,"success","no"
"Youth","blue-collar","single","secondary","no",-42,"yes","yes","unknown",3,"jun",294,2,-1,0,"unknown","no"
"Workforce","management","married","tertiary","no",161,"no","no","cellular",11,"aug",226,2,-1,0,"unknown","no"
"Youth","blue-collar","single","secondary","no",495,"no","no","cellular",7,"jul",131,3,-1,0,"unknown","no"
"Workforce","management","divorced","tertiary","no",69,"yes","no","cellular",30,"jul",149,2,-1,0,"unknown","no"
"Youth","management","married","tertiary","no",342,"yes","no","cellular",17,"jul",818,1,-1,0,"unknown","no"
"Retired","retired","married","unknown","no",1940,"no","no","telephone",4,"dec",705,2,-1,0,"unknown","yes"
"Youth","blue-collar","married","secondary","no",0,"yes","no","unknown",29,"jul",331,1,-1,0,"unknown","no"
"Workforce","admin.","married","secondary","no",437,"yes","no","cellular",2,"feb",138,1,-1,0,"unknown","no"
"Youth","services","married","unknown","no",618,"no","no","cellular",12,"aug",293,1,104,1,"success","yes"
"Youth","blue-collar","single","secondary","no",286,"yes","no","cellular",18,"may",663,2,-1,0,"unknown","no"
"Workforce","retired","divorced","secondary","no",-157,"no","yes","unknown",23,"jul",104,1,-1,0,"unknown","no"
"Workforce","entrepreneur","married","secondary","yes",15,"yes","no","cellular",10,"jul",121,1,-1,0,"unknown","no"
"Workforce","admin.","married","secondary","no",2254,"no","no","telephone",2,"feb",233,2,-1,0,"unknown","no"
"Workforce","management","married","tertiary","no",4649,"yes","no","cellular",19,"nov",277,4,-1,0,"unknown","no"
"Workforce","management","divorced","tertiary","no",15,"no","no","cellular",28,"aug",76,5,-1,0,"unknown","no"
"Workforce","management","single","tertiary","no",3840,"yes","no","cellular",24,"sep",232,2,409,2,"success","yes"
"Workforce","self-employed","married","primary","no",92,"yes","no","unknown",13,"may",92,1,-1,0,"unknown","no"
"Workforce","blue-collar","single","primary","no",561,"yes","no","cellular",17,"apr",88,1,-1,0,"unknown","no"
"Retired","technician","single","primary","no",11262,"no","no","cellular",26,"aug",323,1,-1,0,"unknown","yes"
"Workforce","technician","married","secondary","no",-257,"no","no","cellular",8,"jul",24,26,-1,0,"unknown","no"
"Workforce","housemaid","married","primary","no",434,"yes","yes","unknown",18,"jun",272,3,-1,0,"unknown","no"
"Youth","blue-collar","single","primary","no",398,"yes","no","cellular",13,"may",716,1,-1,0,"unknown","yes"
"Workforce","admin.","married","secondary","no",4307,"no","no","unknown",16,"jun",88,1,-1,0,"unknown","no"
"Youth","housemaid","married","primary","no",0,"no","no","cellular",18,"aug",65,3,-1,0,"unknown","no"
"Retired","technician","married","unknown","no",4727,"yes","no","telephone",28,"jan",80,4,90,4,"unknown","no"
"Youth","blue-collar","single","secondary","no",4339,"yes","yes","cellular",27,"may",76,2,-1,0,"unknown","no"
"Retired","management","married","tertiary","no",0,"no","no","cellular",7,"aug",401,3,-1,0,"unknown","yes"
"Youth","admin.","single","tertiary","no",902,"yes","no","cellular",18,"may",50,7,-1,0,"unknown","no"
"Workforce","unemployed","married","tertiary","no",4809,"yes","no","cellular",21,"nov",223,2,186,3,"unknown","no"
"Youth","technician","married","secondary","no",66,"no","yes","cellular",5,"aug",239,1,-1,0,"unknown","no"
"Youth","unemployed","married","secondary","yes",2,"yes","no","unknown",13,"may",178,2,-1,0,"unknown","no"
"Youth","management","married","tertiary","no",1384,"yes","no","cellular",30,"jan",203,2,2,3,"unknown","no"
"Youth","admin.","single","tertiary","no",8,"no","yes","cellular",2,"mar",107,1,-1,0,"unknown","no"
"Workforce","technician","single","secondary","no",5436,"yes","no","unknown",20,"may",443,1,-1,0,"unknown","no"
"Workforce","blue-collar","married","secondary","no",2603,"yes","yes","cellular",7,"aug",235,2,-1,0,"unknown","no"
"Workforce","admin.","divorced","secondary","no",1878,"yes","no","cellular",17,"nov",219,1,-1,0,"unknown","no"
"Youth","management","married","tertiary","no",62,"no","no","cellular",7,"aug",169,2,-1,0,"unknown","no"
"Workforce","admin.","married","secondary","no",1575,"no","no","cellular",17,"nov",407,1,-1,0,"unknown","no"
"Youth","management","single","tertiary","no",2399,"yes","no","unknown",3,"jun",193,2,-1,0,"unknown","no"
"Workforce","management","married","secondary","no",428,"yes","no","unknown",30,"may",153,1,-1,0,"unknown","no"
"Workforce","services","married","unknown","no",-224,"no","no","unknown",18,"jun",332,2,-1,0,"unknown","no"
"Workforce","retired","married","primary","no",592,"no","yes","cellular",28,"jul",87,5,-1,0,"unknown","no"
"Workforce","management","divorced","tertiary","no",-173,"no","yes","cellular",18,"aug",119,7,-1,0,"unknown","no"
"Youth","unemployed","married","primary","no",-63,"yes","no","unknown",20,"may",657,1,-1,0,"unknown","no"
"Workforce","technician","divorced","secondary","no",-1034,"yes","yes","cellular",7,"may",195,1,-1,0,"unknown","no"
"Youth","management","divorced","tertiary","no",530,"yes","no","cellular",29,"jan",131,1,127,3,"failure","no"
"Retired","retired","married","primary","no",7781,"no","no","cellular",3,"jul",222,1,-1,0,"unknown","no"
"Workforce","services","married","secondary","no",981,"no","no","cellular",7,"jul",682,2,386,1,"success","yes"
"Youth","blue-collar","single","secondary","no",398,"yes","no","cellular",20,"apr",198,1,-1,0,"unknown","no"
"Retired","retired","divorced","primary","no",18,"no","no","cellular",24,"apr",222,4,-1,0,"unknown","no"
"Workforce","retired","married","secondary","no",1463,"yes","no","unknown",19,"jun",446,1,-1,0,"unknown","no"
"Youth","blue-collar","single","secondary","no",2,"yes","no","cellular",7,"may",223,1,-1,0,"unknown","no"
"Workforce","technician","married","secondary","no",2242,"no","no","cellular",17,"nov",170,2,-1,0,"unknown","no"
"Workforce","blue-collar","single","secondary","no",0,"yes","no","cellular",16,"oct",283,1,165,3,"failure","no"
"Workforce","management","married","secondary","no",3096,"yes","no","cellular",24,"jul",273,6,-1,0,"unknown","no"
"Youth","blue-collar","married","secondary","no",331,"yes","no","unknown",17,"jun",116,3,-1,0,"unknown","no"
"Workforce","retired","married","primary","no",7938,"no","no","unknown",17,"jun",133,1,-1,0,"unknown","no"
"Youth","admin.","single","secondary","no",395,"yes","no","unknown",12,"may",95,8,-1,0,"unknown","no"
"Youth","technician","single","secondary","no",591,"yes","yes","cellular",15,"may",14,5,-1,0,"unknown","no"
"Workforce","blue-collar","married","primary","no",2321,"no","no","cellular",27,"aug",218,7,-1,0,"unknown","no"
"Youth","admin.","married","secondary","no",0,"yes","yes","cellular",9,"jul",127,1,-1,0,"unknown","no"
"Youth","services","single","primary","no",179,"yes","yes","cellular",28,"jul",333,4,-1,0,"unknown","no"
"Youth","blue-collar","single","secondary","no",22,"no","no","cellular",7,"jul",280,1,-1,0,"unknown","no"
"Workforce","unemployed","married","secondary","no",0,"no","no","cellular",5,"may",398,2,165,4,"failure","no"
"Youth","management","married","tertiary","no",0,"yes","yes","cellular",14,"may",83,2,-1,0,"unknown","no"
"Retired","retired","married","primary","no",3230,"no","no","cellular",11,"jan",300,2,48,1,"failure","no"
"Workforce","management","married","tertiary","no",0,"yes","no","cellular",18,"nov",897,3,-1,0,"unknown","yes"
"Youth","housemaid","married","primary","no",1349,"yes","no","cellular",7,"aug",132,2,-1,0,"unknown","no"
"Workforce","management","married","tertiary","no",583,"no","no","cellular",17,"nov",226,1,184,4,"success","yes"
"Youth","services","married","secondary","no",1304,"no","no","cellular",30,"jan",403,1,-1,0,"unknown","no"
"Youth","entrepreneur","single","secondary","no",1808,"no","no","cellular",19,"nov",84,1,-1,0,"unknown","no"
"Workforce","management","single","tertiary","no",2357,"yes","no","cellular",20,"apr",64,3,273,1,"failure","no"
"Youth","services","married","secondary","no",703,"no","no","cellular",17,"apr",282,2,150,2,"failure","no"
"Youth","management","single","tertiary","no",0,"yes","no","unknown",30,"may",224,4,-1,0,"unknown","no"
"Workforce","management","married","tertiary","no",369,"no","no","cellular",8,"aug",75,2,-1,0,"unknown","no"
"Workforce","admin.","married","tertiary","no",0,"no","no","cellular",25,"nov",106,1,205,2,"unknown","no"
"Youth","services","single","secondary","no",801,"no","no","cellular",5,"jun",255,2,-1,0,"unknown","yes"
"Youth","student","single","unknown","no",479,"no","no","cellular",11,"sep",158,2,-1,0,"unknown","no"
"Youth","management","single","tertiary","no",0,"no","no","cellular",28,"aug",13,17,-1,0,"unknown","no"
"Workforce","technician","married","secondary","no",-556,"yes","no","cellular",19,"nov",101,1,-1,0,"unknown","no"
"Workforce","blue-collar","divorced","primary","no",4399,"yes","no","telephone",31,"jul",69,8,-1,0,"unknown","no"
"Workforce","blue-collar","married","tertiary","no",-534,"yes","no","cellular",4,"feb",22,1,-1,0,"unknown","no"
"Youth","management","single","tertiary","no",368,"yes","no","unknown",23,"may",160,1,-1,0,"unknown","no"
"Workforce","management","married","tertiary","no",0,"no","yes","cellular",29,"jul",129,6,-1,0,"unknown","no"
"Workforce","management","single","tertiary","yes",-401,"yes","no","cellular",19,"aug",274,4,-1,0,"unknown","no"
"Youth","blue-collar","married","primary","no",2212,"yes","no","cellular",14,"may",320,2,353,4,"unknown","no"
"Workforce","management","married","tertiary","no",207,"yes","no","unknown",5,"may",39,1,-1,0,"unknown","no"
"Youth","technician","single","secondary","no",105,"yes","no","cellular",17,"nov",303,1,196,2,"failure","no"
"Youth","blue-collar","single","primary","no",36,"yes","no","cellular",20,"nov",290,2,-1,0,"unknown","no"
"Workforce","blue-collar","married","primary","no",665,"no","no","cellular",30,"jan",89,4,235,2,"failure","no"
"Workforce","management","married","tertiary","no",11650,"yes","no","cellular",17,"nov",48,1,-1,0,"unknown","no"
"Workforce","admin.","married","secondary","no",271,"no","no","cellular",7,"apr",60,3,-1,0,"unknown","no"
"Workforce","admin.","married","secondary","no",-372,"yes","no","unknown",5,"may",172,1,-1,0,"unknown","no"
"Workforce","technician","married","primary","no",314,"yes","yes","cellular",30,"jan",108,2,2,5,"unknown","no"
"Youth","technician","single","tertiary","no",1954,"yes","yes","unknown",27,"may",78,1,-1,0,"unknown","no"
"Youth","blue-collar","single","secondary","no",707,"yes","no","cellular",18,"may",52,2,-1,0,"unknown","no"
"Workforce","admin.","married","secondary","no",0,"no","no","cellular",10,"nov",213,1,190,1,"unknown","yes"
"Workforce","blue-collar","married","secondary","no",576,"yes","no","cellular",8,"may",212,1,-1,0,"unknown","no"
"Youth","admin.","married","secondary","no",430,"yes","no","cellular",21,"jul",82,4,-1,0,"unknown","no"
"Youth","management","married","tertiary","no",646,"no","no","cellular",12,"aug",99,2,-1,0,"unknown","no"
"Workforce","admin.","divorced","secondary","no",2550,"yes","no","unknown",2,"jun",424,2,-1,0,"unknown","no"
"Youth","technician","married","secondary","no",348,"yes","no","cellular",7,"may",263,2,294,1,"success","no"
"Workforce","blue-collar","married","secondary","no",398,"yes","yes","cellular",6,"aug",128,2,-1,0,"unknown","no"
"Workforce","management","single","tertiary","no",6964,"no","no","cellular",19,"nov",223,3,-1,0,"unknown","no"
"Workforce","admin.","married","primary","no",611,"no","yes","cellular",17,"nov",487,1,-1,0,"unknown","no"
"Workforce","unknown","married","unknown","no",2508,"no","no","unknown",20,"jun",34,8,-1,0,"unknown","no"
"Youth","blue-collar","single","secondary","no",535,"yes","no","unknown",2,"jun",360,2,-1,0,"unknown","no"
"Youth","management","single","tertiary","no",1512,"no","yes","cellular",14,"aug",133,4,-1,0,"unknown","no"
