"age","job","marital","education","default_credit","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","term_deposit_subscribed"
"Youth","blue-collar","single","secondary","no",-0.402103844603423,"no","yes","cellular",1.10302468402326,"jul",0.39044164053336,-0.572870169793238,-0.408067314706465,-0.221904172453387,"unknown","no"
"Youth","management","married","secondary","no",0.0246642750356524,"yes","no","unknown",0.0179674898849468,"may",-0.138355940244418,0.0795216116906509,-0.408067314706465,-0.221904172453387,"unknown","no"
"Youth","management","married","tertiary","no",-0.447568255482547,"yes","no","cellular",-1.06708970425336,"apr",0.417659163073393,-0.572870169793238,-0.408067314706465,-0.221904172453387,"unknown","no"
"Workforce","technician","divorced","secondary","no",-0.445245256386534,"yes","yes","cellular",0.138529400344759,"nov",-0.811017568733798,-0.572870169793238,-0.408067314706465,-0.221904172453387,"unknown","no"
"Workforce","retired","divorced","primary","no",-0.415378125152073,"no","no","unknown",0.259091310804572,"jun",-0.776023611182327,-0.572870169793238,-0.408067314706465,-0.221904172453387,"unknown","no"
"Workforce","self-employed","divorced","tertiary","no",-0.140268660781315,"yes","no","cellular",0.379653221264384,"nov",-0.352207903058961,-0.246674279051293,1.14751924503964,0.162786450436281,"unknown","no"
"Workforce","unemployed","single","secondary","no",-0.447568255482547,"no","no","cellular",1.34414850494288,"aug",-0.834346873768112,0.0795216116906509,-0.408067314706465,-0.221904172453387,"unknown","no"
"Workforce","admin.","married","secondary","no",0.44247225530439,"no","no","cellular",1.70583423632232,"jul",-0.604942040930693,1.71050106540037,-0.408067314706465,-0.221904172453387,"unknown","no"
"Retired","retired","married","primary","no",0.330968298695736,"no","no","cellular",0.982462773563446,"aug",-0.266667117933144,0.0795216116906509,1.56166891354347,0.547477073325948,"success","no"
"Youth","blue-collar","single","secondary","no",-0.461506250058629,"yes","yes","unknown",-1.54933734609261,"jun",0.137707502661628,-0.246674279051293,-0.408067314706465,-0.221904172453387,"unknown","no"
